Библиография,
Сокращение,Библиография
"Беридзе, Езерская","Беридзе В., Езерская Н. Искусство Советской Грузии 1921—1970: Живопись, графика, скульптура. М., 1975."
Борьба за реализм,"Борьба за реализм в изобразительном искусстве 20-х годов. М., 1962."
"Буш, Замошкин","Буш М., Замошкин А. И. Пути советской живописи 1917—1932. М.—Л., 1933."
Выставки,"Выставки советского изобразительного искусства: Справочник. Т. I (1917—1932 гг.). М., 1966."
Дьяконицын,"Дьяконицын Л. Ф. Идейные противоречия в эстетике русской живописи конца XIX — начала XX в. Пермь, 1966."
Кондыба,"Кондыба В. И. История становления и развития художественной жизни Дальнего Востока 1858—1938. Владивосток, 1985."
Лапшин,"Лапшин В. П. Художественная жизнь Москвы и Петрограда в 1917 г. М., 1983."
Лебедев,"Лебедев П. Русская советская живопись. М., 1963."
Лобанов,"Лобанов В. М. Художественные группировки за последние 25 лет. М., 1930."
Маца,"Советское искусство за 15 лет: Материалы и документы/Под ред. И. Л. Маца. М.—Л., 1933."
Михайлов,"Михайлов А. ИЗОискусство реконструктивного периода. М.—Л., 1932."
Муратов,"Муратов П. Художественная жизнь Сибири 1920-х годов. Л., 1974."
Ремпель,"Ремпель Л. Живопись Советского Закавказья. М.—Л., 1932."
Стернин-1,"Стернин Г. Ю. Художественная жизнь России на рубеже XIX—XX вв. М., 1970."
Стернин-2,"Стернин Г. Ю. Художественная жизнь России начала XX века. М., 1976."
Стернин-3,"Стернин Г. Ю. Художественная жизнь России 1900—1910-х гг. М., 1988."
Стернин-4,"Стернин Г. Ю. Художественная жизнь России середины XIX века. М., 1991."
Тугендхольд,"Тугендхольд Я. А. Искусство Октябрьской эпохи. Л., 1930."
Харджиев,"К истории русского авангарда: Сборник статей/Под ред. Н. И. Харджиева. Стокгольм, 1976."
ГАОРСС ЛО,"Государственный архив Октябрьской революции, Ленинградское отделение."
СР ГРМ,"Сектор рукописей Государственного Русского музея, Петербург."
ЦГАЛИ,"Центральный государственный архив литературы и искусства, Москва."
ЦГИА,"Центральный государственный исторический архив, Петербург."
