Название группы/объединения,Аббревиатура названия,Начало работы,Конец работы,Описание группы/объединения,Основные участники группы,Официальное/неофициальное,Библиография,Территориальность,Современные названия,Latitude,Longitude
Азербайджанское общество работников революционного изобразительного искусства,АзОРРИИС,1929,1932,"Общество возникло в июне 1929 года по инициативе членов ОМХАз, студентов и выпускников Бакинского художественного техникума. Его цель заключалась в развитии национального искусства, отражении социалистических преобразований и революционного прошлого республики. Члены АзОРРИИС были увлечены декоративизмом и испытывали влияние западного искусства, включая Гогена и Матисса. Одним из направлений деятельности было оформление рабочих клубов, домов культуры, выставок и общественно-политических мероприятий. В апреле 1930 года в рамках «Выставки достижений Азербайджана за 10 лет» в Баку была проведена 1-я выставка общества. В начале 1931 года состоялась выставка «Революция 1905 г. в Баку», а в декабре 1931 – январе 1932 АзОРРИИС участвовало в «Выставке работ художников Украины, Азербайджана и Армении» в Москве. В декабре 1932 года общество было ликвидировано в соответствии с постановлением ЦК ВКП(б) «О перестройке литературно-художественных организаций», на его основе был создан Союз советских художников Азербайджана.","И. Г. Ахундов, Л. Р. Гурицкий, Ш. Г. Мангасаров, Г. Г. Мустафаев, И. Г. Рыженко, С. Саламов (Салам-заде), И. Сеидов, К. А. Халыков,  П. П. Фридолин, А. Гастратов, Т. А. Гукасов, Б. Дашдамирова, М. Демьянов, А. Жаров, X. Зиятханова, А. Ю. Казиев, Ш. Казиев, А. Квасков, Ш. Г. Мангасаров, Г. Г. Мустафаев, Р. Мустафаев, Н. Овчинников, И. Г. Рыженко,  А. Самсонов, Г. Чикнаверова, Л. Шаров, С. Шахтахтинская, Р.А. Шхиян",Официальное,"Выставки, 363, 382, 396; Ремпель, 113—120 * I выставка Азербайджанского общества работников революционного изо искусства (АзОРРИИС)/Декларация и вст. ст. П. П. Фридолина. Баку, 1930 (рус. и азерб.) * Ремпель Л. На азербайджанском изофронте//Бригада художников. 1931. № 7. С. 25 * Масленников Н., Чепелев В. Художники ССР Азербайджана. М., 1933. С. 6—9, 22—24 * Миклашевская Н. М. Становление и развитие искусства социалистического реализма в советском Азербайджане (1920—1945). Баку, 1974. С. 41, 50—52 
",Баку,Баку,40.40926169999999,49.8670924
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),АЙАРТУН,1921,1930,"Художественная секция была создана в результате реорганизации Союза художников-армян, основные силы которого после установления Советской власти обосновались в Эривани. Объединение не имело четкой программы и не придерживалось единого художественного направления. Л. Ремпель отмечал, что в нем сосуществовали представители натурализма, модерна, национализма, буржуазного формализма и экспрессионизма. В ноябре — декабре 1922, марте 1925, январе — феврале 1929 «Айартун» провел три выставки, продолжавшие серию Союза художников-армян. В них участвовало около 50 художников. В феврале 1930 года группа членов общества поддержала создание Ассоциации революционных художников Грузии (САРМА) и вошла в ее состав. В 1932 году бывшие члены «Айартуна» присоединились к Союзу советских художников Грузии.","С. М. Агаджанян, С. А. Аракелян, В. Г. Ахикян, Г. 3. Башинджагян, В. Д. Бебутова-Габуния, В. В. Варт-Патрикова, Д. А. Гвелисиани, Г. М. Гюрджян, О. А. Каралян, В. А. Крот­кое, Е. Е. Лансере, Р. И. Лорис-Меликов, М. С. Маркарян, Г. Ф. Новак, Б. М. Семенов, Е. М. Татевосян, Р. А. Тер-Григорян (Атик), М. М. Хунунц, Р. И. Шавердян, Г. М. Шарбабчян",Официальное,"Беридзе, Езерская, 34—35; Выставки, 168, 328; Ремпель, 20—22, 164 * Ремпель Л. К созданию грузинской АПХ//За пролетарское искусство, 1932. № 6. С. 15 ",Тифлис,Тбилиси,41.6938026,44.80151679999999
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ,1857,1862,"Еженедельные вечерние собрания художников («пятницы») проводились для художественных занятий и обмена знаниями. Вечера включали совместные сеансы рисования, лотереи, аукционы, маскарады и концерты. В 1860 году собрания переместились в залы Академии художеств, стали называться «академическими пятницами» и приобрели популярность. Выпускались литографические альбомы «Русские художники», а вырученные средства шли на помощь нуждающимся. В 1862 году общество распалось из-за конфликта с Академией, его участники основали «Санкт-Петербургское собрание художников».","А. К. Беггров, А. Е. Бейдеман, А. П. Боголю­бов, М. А. Зичи, М. К. Клодт, И. И. Соколов, В. Ф. Тимм, К. А. Трутовский, В. Г. Худяков ",Официальное/неофициальное,"ЦГИА, ф. 789, оп. 4, 1863, д. 5, л. 126 * Отчет Императорской академии художеств с 4 сентября 1860 по 3 сентября 1861 г. СПб., 1861, С. 37—42 * Отчет рисовальных вечеров по пятницам с 1860 по 1863 гг. СПб., 1863 * Трутовский К. А. «Пятницы» художников (отрывок из моих воспоминаний) // Русское обозрение, 1893, апрель * Алешина А. С. Михай Зичи. М., 1975 
",Санкт-Петербург,Санкт-Петербург,59.9310584,30.3609097
«АЛАЯ РОЗА» (Группа художников и одноименная выставка),АЛАЯ РОЗА,1904,1907,"Выставка «Алая роза» прошла в мае–июне 1904 года по инициативе группы учащихся Московского училища живописи, ваяния и зодчества, в основном выходцев из Саратова. Работы демонстрировали декоративизм и символизм.  Почетными участниками выставки были приглашены М. А. Врубель и В. Э. Борисов-Мусатов. Члены группы участвовали в выставках Московского товарищества художников (с 1905) и сотрудничали в журнале «Весы». В 1907 они составили ядро группы «Голубая роза», в деятельности которой получили дальнейшее развитие декоративистские и символистские тенденции.","Е. В. Александрова, А. А. Арапов, М. В. Волгин (Кузнецов), И. А. Кнабе, П. В. Кузнецов, Н. Н. Нордосский, В. П. Половинкин, Е. С. Потехина, Н. Н. Са­пунов, М. С. Сарьян, С. Д. Симпол, С. Ю. Судейкин, П. С. Ут­кин, К. Л. Фельден, Н. П. Феофилактов, М. А. Врубель, В. Э. Борисов-Мусатов",Неофициальное,"«Алая роза». Выставка картин: Каталог. Саратов, 1904 * Русакова А. А. Виктор Эльпидифорович Борисов-Мусатов. М. — Л., 1966. С. 112—113 * Коган Д. З. Сергей Юрьевич Судейкин. М., 1974. С. 14—15 * Русакова А. А. Павел Кузнецов. Л., 1977. С. 43—45 * Киселев М. Графика журнала «Весы»//Советская графика — 78. М., 1980. С. 200—224",Саратов,Саратов,51.5461754,46.0154123
Алтайское художественное общество,АХО,1918,1922,"Основано в 1918 году для объединения художников Алтайского края и развития художественного образования. При обществе имелась студия с классами живописи, рисования и лепки, в которой обучалось от двадцати до сорока человек. Весной 1918 состоялась выставка барнаульских и томских художников.  В период колчаковщины (июнь 1918 — декабрь 1919) деятельность общества прервалась в связи с уходом многих художников в подполье. В январе 1920 АХО фактически слилось с секцией ИЗО при губернском отделе народного образования (губоно) и вновь стало центром художественной жизни края. Общество передало губоно библиотеку, картины и архив, содержавший фотографии с картин местных художников. Весной 1920 в Барнауле был создан Музей живописной культуры, где читались доклады и проводились диспуты. Были организованы художественные школы в Бийске и нескольких крупных селах. 
Группа учащихся барнаульских художественно-технических мастерских под руководством Емельянова выполняла стенные 
росписи в общественных зданиях. Трусов исполнил проекты монументальных украшений города к праздникам, Надольский — памятник Карлу Марксу и ряд других монументальных проектов. К третьей годовщине Октября члены общества устроили передвижную выставку с участием местных и московских художников. К 1922 общество пришло в упадок и прекратило деятельность из-за отъезда многих художников из Барнаула. В дальнейшем некоторые бывшие члены АХО (Гуляев, Макаров, Никулин, Янова-Надольская) участвовали в создании общества «Новая Сибирь».","В. В. Бессонов, В. Н. Гуляев, Н. Н Емельянов, В. В. Карев, Е. Л. Коровай, М. И. Курзин, К. Ларионов, В. Н. Макаров, С. Р. Надольский, А. О. Никулин, М. И. Трусов (Чебдар), А. В. Худяшов, И. Д. Чашников, Н. А. Янова-Надольская",Официальное,"Муратов, 15, 27—28 * Северная Азия. 1925. № 5/6. С. 173 * Изобразительное искусство Алтая/Сост. Л. И. Снитко. Барнаул, 1977. С. 5 * Снитко Л. И. Первые художники Алтая. Л., 1983. С. 17 * Искусство Алтая/Сост. И. К. Галкина. Барнаул, 1989. С. 3, 52",Барнаул,Барнаул,53.3497499,83.78357369999999
«АМАРАВЕЛЛА» («Космисты». Группа художников),АМАРАВЕЛЛА,1923,1928,"В группе объединились молодые художники. Название «Амаравелла» в вольном переводе с санскрита означает «Ростки бессмертия». В творчестве группы отразился интерес к культуре Востока, космофизике и философии единства мироздания. «Космисты» испытывали также влияние Н. К. Рериха, Н. К. Чюрлениса и В. Э. Борисова-Мусатова. Первая выставка группы состоялась в 1923 и осталась без внимания прессы. В 1926 художники встретились с Рерихом во время его приезда в Москву, а в следующем году с его помощью провели выставку в художественном центре «Corona Mundi» в Нью-Йорке. В мае 1929 члены группы участвовали в 6-й выставке «Жизнь — творчество».","А. П. Сардан, Б. А. Смирнов-Русецкий, П. П. Фатеев, В. Т. Черноволенко, С. И. Шигалев",Неофициальное,"Б. А. Смирнов-Русецкий. Д. М. Утенков: Каталог выставки произведений/Авт. — сост. В. Н. Лебедева. Кострома, 1983 * «Амаравелла». Виктор Черноволенко: Выставка в Музее Ф. М. Достоевского. Буклет/Сост. В. В. Орехов. Л., 1989 * Кленов В. «И звезда с звездою говорит»//Сельская молодёжь. 1989 № 5. С. 25, IV",Москва,Москва,55.755826,37.6173
Амурское общество поощрения художеств,,1914,1918,"Общество основано по инициативе выпускника Академии художеств В. Е. Панова и скульптора С. И. Володченко при участии художников и учителей рисования. Основная цель общества — объединение местных художников, любителей изящных искусств и ремесленников-кустарей, содействие развитию среди населения вкуса и понятия об искусстве, организация музея изящных искусств и художественной школы. В 1914—1915 годах общество организовало выставки живописи, графики, скульптуры и прикладного искусства. В 1920 силами бывших членов общества было создано Художественно-промышленное училище.
Общество основано по инициативе выпускника Академии художеств В. Е. Панова и скульптора С. И. Володченко при участии художников и учителей рисования А. А. Александрова, М. С. Пилецкого, А. И. Сулоцкого, Е. Н. Трофимовской, В. Г. Шешунова и др.
 3 марта 1914 был утвержден устав. «Цель общества — объединить местных художников, любителей изящных искусств и ремесленников-кустарей, содействовать развитию среди населения вкуса и понятия об искусстве, распространить любовь к изящным искусствам, поощрить местных художников (...) всевозможными средствами, организовать в Благовещенске музей изящных искусств и содержать школу живописи, скульптуры, рисования и черчения с художественно-живописным отделением».
17 марта состоялось учредительное собрание, в котором на ряду с художниками участвовали местные чиновники и офицеры во главе с военным губернатором Амурской области В. С. Воротниковым. Первым председателем правления стал Ф. С. Шадрин (в 1916 его сменил А. Н. Григорьев), секретарем— А. Д. Наличников. Представители общества входили с правом совещательного голоса в комиссию по благоустройству города, участвовали в обсуждении проекта его озеленения. В декабре 1914 — январе 1915 общество провело выставку живописи, графики, скульптуры и прикладного искусства с участием местных художников. Большая часть программы общества осталась невыполнен
 ной из-за недостатка материальных средств. А. Д. Наличников писал в 1915: «Не особенно красочную картину, полную широких планов и больших событий, предстоит мне предоста
 вить вашему вниманию, обозревая деятельность Об-ва за короткое время его существования. Время и место должны были сказаться на жизни Об-ва. Нечего и говорить о том, что глукая жизнь края тяжело сказалась на всем. И если искусство вообще стоит неорганизованным отшельником где-то в стороне и загоне, то тем более эта тягота должна чувствоваться здесь и тем более сказаться здесь на всяком порыве и проявлении 
искусства». В годы Гражданской войны деятельность общества прекратилась. В 1920 силами его бывших членов в Благовещенске было создано Художественно-промышленное училище.","В. Е. Панов,  А. А. Алек­сандров, М. С. Пилецкий, А. И. Сулоцкий, Е. Н. Трофимовский, В. Г. Шешунов, С. И. Володченко, В. С. Воротников, Ф. С. Шадрин, А. Н. Григорьев, А. Д. Наличников",Неофициальное,"Коцдьба, 74—75 * Устав Амурского общества поощрения художеств. Благовещенск, 1914 * Памятная книжка и Адрес-календарь Амурской области на 1915... 1916 * Амурское Общество поощрения художеств//Известия Общества преподавателей графических искусств, 1915. № 6. С. 36—38",Благовещенск,Благовещенск,50.2660067,127.5356153
Артель П. А. Крестоносцева,,1864,1865,"Артель основана в середине 1864 группой учащихся Академии художеств для взаимной материальной поддержки. Ее прообразом послужила С.-Петербургская артель художников, организованная годом раньше И. Н. Крамским. Инициатором объединения стал классный художник 2-й степени П. А. Крестоносцев (Волгин), в прошлом вольнослушатель Академии и товарищ Крамского.  Художники жили на квартире Крестоносцева и имели общий бюджет, который складывался из средств, вырученных от продажи картин и выполнения различных художественных заказов. Основную часть дохода артели давали иконописные работы для Старо-Ладожского Николаевского монастыря. 
В 1864 и 1865 члены артели участвовали в академических выставках. В марте 1865 Крестоносцев и Кошелев участвовали 
в художественной выставке в Нижнем Новгороде, организованной С.-Петербургской артелью художников. По словам 
А. А. Сидорова, «обе артели были ступенями того подъема, какой обозначен в нашем художественном развитии деятель
 ностью Товарищества передвижных художественных выставок».
 Летом 1865 артель распалась из-за материальных затруднений. Кошелев и Крестоносцев были приняты в С.-Петербург
 скую артель; Максимов и Киселев в 1870-е стали активными членами Товарищества передвижных художественных выставок, Бобров — экспонентом ТПХВ.","П. А. Крестоносцев (Волгин), В. А. Бобров, А. К. Дамберг, А. Ф. Калмыков, А. А. Киселев, Н. А. Кошелев, В. М. Максимов, А. Н. Шурыгин",Неофициальное,"Леонов А. Василий Максимович Максимов: Жизнь и творчество. М., 1951. С. 51—77 * Сидоров А. А. Рисунок старых мастеров: Вторая половина XIX века. М., 1960. С. 186—187, 193 * Крамской И. Н. Письма и статьи. В 2-х тт. Т. I. М., 1965. С. 15, 488",С.-Петербург,Санкт-Петербург,59.9310584,30.3609097
Артель русских художников,,1901,1903,"Артель основана группой живописцев, графиков, скульпторов и прикладников — недавних выпускников Академии художеств. Согласно уставу, утвержденному 19 сентября *1901, целью артели являлось: «1) прием и исполнение заказов на предметы искусства и художественной промышленности; 2) взаимопомощь членов артели, совместные занятия, совместные поездки в художественные экскурсии по России и за границей; 3) урегулирование отношений между заказчиками и исполнителями — членами артели; 4) возможно большее распространение художественных и художественно-промышленных произведений; 5) выработка новых мотивов и форм для художественной промышленности». Предполагалось со временем преобразовать артель в художественно-промышленное общество.
 В 1900—1910-е бывшие члены артели (Билибин, Бобровский, Герардов, Щусев) преподавали в школе ОПХ. В те же годы часть из них входила в Новое общество художников и Общество имени А. И. Куинджи.","Л. М. Антокольский, И. Я. Билибин, Г. М. Бобровский, Н. Н. Герардов, С. М. Ду­дин, М. Ф. Иванов, А. Ф. Максимов, К. А. Стабровский, Н. М. Фокин, С. Ф. Чуприненко, А. В. Щусев",Неофициальное,"Устав Артели русских художников. СПб., 1902",С.-Петербург,Санкт-Петербург,59.9310584,30.3609097
Архангельский кружок любителей изящных искусств,,1913,1918,"Кружок был основан весной 1913 в связи с предстоящим приездом из Вологды выставки Северного кружка любителей изящных искусств. На первом собрании, 
состоявшемся 5 апреля 1913, присутствовали художники-любители, учителя рисования и черчения, представители местной знати. Председателем правления была избрана супруга вице-губернатора С. А. Брянчанинова, секретарем — тайный советник А. А. Каретников.
 Совместными усилиями вологодского и архангельского кружков в Архангельске были организованы две выставки (апрель— май 1913 и апрель 1914), в которых участвовали преимущественно петербургские и московские художники различных направлений. Во 2-й выставке участвовали также архангельские художники.
Обе выставки посетило в общей сложности около 4 тыс. человек, что свидетельствовало об их успехе. Осенью 1913 кружок устроил выставку ненца И. К. Вылко. В 1914—1916 в кружке проводились музыкальные вечера с участием столичных артистов и устраивались лекции по искусству, архитектуре и художественной старине. Летом 1917 кружковцы участвовали в выставке «Русский Север», организованной Архангельским обществом изучения Русского Севера.","С. А. Брянчанинова, А. А. Каретников, К. Ф. Богаевский, Н. П. Богданов-Бельский, И. И. Бродский, А. Ф. Гауш, М. В. Добужинский, Н. Н. Дубовской, Д. Н. Кардовский, Б. М. Кустодиев, Е. Е. Лансере, Г. Г. Мясоедов, А. П. Остроумова-Лебедева, К. С. Петров-Водкин, А. К. Жаба, Н. К. Жаба, П. И. Калашников, З. Калашников, С. Г. Писахов, И. М. Шатский, И. К. Вылко",Неофициальное,"Устав Архангельского кружка любителей изящных искусств. Архангельск, 1913 * Архангельский кружок любителей изящных искусств: Отчет о первой выставке картин и этюдов в г. Архангельске. Архангельск, 1913 * Архангельский кружок любителей изящных искусств: Каталог 2-й художественной выставки картин. Архангельск, 1914 * Из жизни Архангельского кружка любителей изящных искусств//Временник. Вып. 1. Вологда, 1916. С. 121—122",Архангельск,Архангельск,64.5458549,40.55057679999999
