Source,Target,Type,Id,Label,Weight
Азербайджанское общество работников революционного изобразительного искусства,И. Г. Ахундов,Directed,0,,1
Азербайджанское общество работников революционного изобразительного искусства,Л. Р. Гурицкий,Directed,1,,1
Азербайджанское общество работников революционного изобразительного искусства,Ш. Г. Мангасаров,Directed,2,,2
Азербайджанское общество работников революционного изобразительного искусства,Г. Г. Мустафаев,Directed,3,,2
Азербайджанское общество работников революционного изобразительного искусства,И. Г. Рыженко,Directed,4,,2
Азербайджанское общество работников революционного изобразительного искусства,С. Саламов (Салам-заде),Directed,5,,1
Азербайджанское общество работников революционного изобразительного искусства,И. Сеидов,Directed,6,,1
Азербайджанское общество работников революционного изобразительного искусства,К. А. Халыков,Directed,7,,1
Азербайджанское общество работников революционного изобразительного искусства,П. П. Фридолин,Directed,8,,1
Азербайджанское общество работников революционного изобразительного искусства,А. Гастратов,Directed,9,,1
Азербайджанское общество работников революционного изобразительного искусства,Т. А. Гукасов,Directed,10,,1
Азербайджанское общество работников революционного изобразительного искусства,Б. Дашдамирова,Directed,11,,1
Азербайджанское общество работников революционного изобразительного искусства,М. Демьянов,Directed,12,,1
Азербайджанское общество работников революционного изобразительного искусства,А. А. Жаров,Directed,13,,1
Азербайджанское общество работников революционного изобразительного искусства,Х. Зиятханова,Directed,14,,1
Азербайджанское общество работников революционного изобразительного искусства,А. Ю. Казиев,Directed,15,,1
Азербайджанское общество работников революционного изобразительного искусства,Ш. Казиев,Directed,16,,1
Азербайджанское общество работников революционного изобразительного искусства,А. Квасков,Directed,17,,1
Азербайджанское общество работников революционного изобразительного искусства,Р. Мустафаев,Directed,20,,1
Азербайджанское общество работников революционного изобразительного искусства,Н. Н. Овчинников,Directed,21,,1
Азербайджанское общество работников революционного изобразительного искусства,А. Самсонов,Directed,23,,1
Азербайджанское общество работников революционного изобразительного искусства,Г. Чикнаверова,Directed,24,,1
Азербайджанское общество работников революционного изобразительного искусства,Л. Шаров,Directed,25,,1
Азербайджанское общество работников революционного изобразительного искусства,С. Шахтахтинская,Directed,26,,1
Азербайджанское общество работников революционного изобразительного искусства,Р.А. Шхиян,Directed,27,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),С. М. Агаджанян,Directed,28,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),С. А. Аракелян,Directed,29,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),В. Г. Ахикян,Directed,30,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Г. З. Башинджагян,Directed,31,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),В. Д. Бебутова-Габуния,Directed,32,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),В. В. Варт-Патрикова,Directed,33,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Д. А. Гвелисиани,Directed,34,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Г. М. Гюрджян,Directed,35,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),О. А. Каралян,Directed,36,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),В. А. Крот­кое,Directed,37,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Е. Е. Лансере,Directed,38,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Р. И. Лорис-Меликов,Directed,39,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),М. С. Маркарян,Directed,40,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Г. Ф. Новак,Directed,41,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Б. М. Семенов,Directed,42,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Е. М. Татевосян,Directed,43,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Р. А. Тер-Григорян (Атик),Directed,44,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),М. М. Хунунц,Directed,45,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Р. И. Шавердян,Directed,46,,1
«АЙАРТУН» (Художественная секция при Доме армянского искусства «Айартун»),Г. М. Шарбабчян,Directed,47,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),А. К. Беггров,Directed,48,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),А. Е. Бейдеман,Directed,49,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),А. П. Боголюбов,Directed,50,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),М. А. Зичи,Directed,51,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),М. К. Клодт,Directed,52,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),И. И. Соколов,Directed,53,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),В. Ф. Тимм,Directed,54,,1
«АКАДЕМИЧЕСКИЕ ПЯТНИЦЫ» (Рисовальные вечера по пятницам в Императорской Академии художеств),К. А. Трутовский,Directed,55,,1
